date_work,income_day,time_in,time_out,user_id,work_day_of_week,working_time
2024-03-01,869,2025-04-24 08:59:29,2025-04-24 15:55:52,1,Monday,0 days 06:56:23.000000000
2024-03-02,833,2025-04-24 09:24:15,2025-04-24 17:27:25,1,Tuesday,0 days 08:03:10.000000000
2024-03-05,956,2025-04-24 09:49:14,2025-04-24 18:30:08,1,Friday,0 days 08:40:54.000000000
2024-03-08,980,2025-04-24 09:57:30,2025-04-24 18:51:18,1,Monday,0 days 08:53:48.000000000
2024-03-09,468,2025-04-24 09:00:43,2025-04-24 18:27:15,1,Tuesday,0 days 09:26:32.000000000
2024-03-12,136,2025-04-24 09:49:45,2025-04-24 16:34:19,1,Friday,0 days 06:44:34.000000000
2024-03-15,853,2025-04-24 08:46:35,2025-04-24 18:53:17,1,Monday,0 days 10:06:42.000000000
2024-03-16,374,2025-04-24 08:28:32,2025-04-24 16:36:43,1,Tuesday,0 days 08:08:11.000000000
2024-03-19,17,2025-04-24 08:57:27,2025-04-24 17:11:33,1,Friday,0 days 08:14:06.000000000
2024-03-02,189,2025-04-24 08:12:50,2025-04-24 16:47:04,2,Tuesday,0 days 08:34:14.000000000
2024-03-03,499,2025-04-24 08:39:47,2025-04-24 15:20:25,2,Wednesday,0 days 06:40:38.000000000
2024-03-05,658,2025-04-24 08:17:12,2025-04-24 16:34:57,2,Friday,0 days 08:17:45.000000000
2024-03-09,723,2025-04-24 09:09:50,2025-04-24 15:34:35,2,Tuesday,0 days 06:24:45.000000000
2024-03-10,756,2025-04-24 09:37:30,2025-04-24 15:55:38,2,Wednesday,0 days 06:18:08.000000000
2024-03-12,324,2025-04-24 09:24:25,2025-04-24 18:25:44,2,Friday,0 days 09:01:19.000000000
2024-03-16,356,2025-04-24 08:47:33,2025-04-24 15:00:48,2,Tuesday,0 days 06:13:15.000000000
2024-03-17,678,2025-04-24 09:04:46,2025-04-24 17:16:39,2,Wednesday,0 days 08:11:53.000000000
2024-03-19,4,2025-04-24 08:35:36,2025-04-24 17:58:52,2,Friday,0 days 09:23:16.000000000
